,Ligand,Concentration,Animal,Cell,Predicted
69,hIL4,-12.227926367153845,Human,Monocyte,0.033359825747779265
70,hIL4,-12.203466078561872,Human,Monocyte,0.03522443974809838
71,hIL4,-12.1790057899699,Human,Monocyte,0.03718925855409612
72,hIL4,-12.154545501377926,Human,Monocyte,0.03925920819308469
73,hIL4,-12.130085212785954,Human,Monocyte,0.04143940455449233
74,hIL4,-12.105624924193979,Human,Monocyte,0.043735154590179036
75,hIL4,-12.081164635602006,Human,Monocyte,0.046151956678837314
76,hIL4,-12.056704347010033,Human,Monocyte,0.048695500039593394
77,hIL4,-12.03224405841806,Human,Monocyte,0.05137166307143262
78,hIL4,-12.007783769826087,Human,Monocyte,0.05418651048667382
79,hIL4,-11.983323481234113,Human,Monocyte,0.05714628909854091
80,hIL4,-11.95886319264214,Human,Monocyte,0.060257422115115276
81,hIL4,-11.934402904050167,Human,Monocyte,0.06352650178481635
82,hIL4,-11.909942615458194,Human,Monocyte,0.06696028023226847
83,hIL4,-11.88548232686622,Human,Monocyte,0.0705656583182812
84,hIL4,-11.861022038274246,Human,Monocyte,0.07434967235397529
85,hIL4,-11.836561749682273,Human,Monocyte,0.07831947849719646
86,hIL4,-11.8121014610903,Human,Monocyte,0.0824823346596529
87,hIL4,-11.787641172498327,Human,Monocyte,0.08684557975608664
88,hIL4,-11.763180883906355,Human,Monocyte,0.09141661013271646
89,hIL4,-11.73872059531438,Human,Monocyte,0.0962028530216059
90,hIL4,-11.714260306722407,Human,Monocyte,0.10121173688100799
91,hIL4,-11.689800018130434,Human,Monocyte,0.10645065849961047
92,hIL4,-11.665339729538461,Human,Monocyte,0.1119269467653933
93,hIL4,-11.640879440946488,Human,Monocyte,0.11764782302800995
94,hIL4,-11.616419152354513,Human,Monocyte,0.12362035801757147
95,hIL4,-11.59195886376254,Human,Monocyte,0.129851425322811
96,hIL4,-11.567498575170568,Human,Monocyte,0.13634765147807848
97,hIL4,-11.543038286578595,Human,Monocyte,0.14311536276154968
98,hIL4,-11.518577997986622,Human,Monocyte,0.15016052886644612
99,hIL4,-11.494117709394649,Human,Monocyte,0.15748870367269388
100,hIL4,-11.469657420802676,Human,Monocyte,0.1651049634178971
101,hIL4,-11.445197132210701,Human,Monocyte,0.1730138426430747
102,hIL4,-11.420736843618728,Human,Monocyte,0.18121926836910568
103,hIL4,-11.396276555026756,Human,Monocyte,0.1897244930449945
104,hIL4,-11.371816266434783,Human,Monocyte,0.19853202689036245
105,hIL4,-11.34735597784281,Human,Monocyte,0.20764357034477407
106,hIL4,-11.322895689250835,Human,Monocyte,0.21705994741345933
107,hIL4,-11.298435400658862,Human,Monocyte,0.22678104077863206
108,hIL4,-11.27397511206689,Human,Monocyte,0.23680572961390875
109,hIL4,-11.249514823474916,Human,Monocyte,0.24713183109791345
110,hIL4,-11.225054534882943,Human,Monocyte,0.2577560466680687
111,hIL4,-11.200594246290969,Human,Monocyte,0.2686739140838678
112,hIL4,-11.176133957698996,Human,Monocyte,0.2798797663777797
113,hIL4,-11.151673669107023,Human,Monocyte,0.29136669875872556
114,hIL4,-11.12721338051505,Human,Monocyte,0.3031265444954733
115,hIL4,-11.102753091923077,Human,Monocyte,0.31514986074368084
116,hIL4,-11.078292803331102,Human,Monocyte,0.3274259251895041
117,hIL4,-11.05383251473913,Human,Monocyte,0.3399427442644587
118,hIL4,-11.029372226147157,Human,Monocyte,0.35268707354118095
119,hIL4,-11.004911937555184,Human,Monocyte,0.36564445074942686
120,hIL4,-10.98045164896321,Human,Monocyte,0.37879924165879086
121,hIL4,-10.955991360371236,Human,Monocyte,0.3921346988627488
